mes,mes_texto,tipo_semana,hora_periodo,hora_inicio,hora_fin,Time,periodo_tarifario
8,Aug,Weekend,18,17,18,17-18,P6
8,Aug,Weekend,19,18,19,18-19,P6
8,Aug,Weekend,20,19,20,19-20,P6
8,Aug,Weekend,21,20,21,20-21,P6
8,Aug,Weekend,22,21,22,21-22,P6
8,Aug,Weekend,23,22,23,22-23,P6
8,Aug,Weekend,24,23,24,23-24,P6
9,Sep,Weekday,1,0,1,0-1,P6
9,Sep,Weekday,2,1,2,1-2,P6
9,Sep,Weekday,3,2,3,2-3,P6
9,Sep,Weekday,4,3,4,3-4,P6
9,Sep,Weekday,5,4,5,4-5,P6
9,Sep,Weekday,6,5,6,5-6,P6
9,Sep,Weekday,7,6,7,6-7,P6
9,Sep,Weekday,8,7,8,7-8,P6
9,Sep,Weekday,9,8,9,8-9,P4
9,Sep,Weekday,10,9,10,9-10,P3
9,Sep,Weekday,11,10,11,10-11,P3
9,Sep,Weekday,12,11,12,11-12,P3
9,Sep,Weekday,13,12,13,12-13,P3
9,Sep,Weekday,14,13,14,13-14,P3
9,Sep,Weekday,15,14,15,14-15,P4
9,Sep,Weekday,16,15,16,15-16,P4
9,Sep,Weekday,17,16,17,16-17,P4
9,Sep,Weekday,18,17,18,17-18,P4
9,Sep,Weekday,19,18,19,18-19,P3
9,Sep,Weekday,20,19,20,19-20,P3
9,Sep,Weekday,21,20,21,20-21,P3
9,Sep,Weekday,22,21,22,21-22,P3
9,Sep,Weekday,23,22,23,22-23,P4
9,Sep,Weekday,24,23,24,23-24,P4
9,Sep,Weekend,1,0,1,0-1,P6
9,Sep,Weekend,2,1,2,1-2,P6
9,Sep,Weekend,3,2,3,2-3,P6
9,Sep,Weekend,4,3,4,3-4,P6
9,Sep,Weekend,5,4,5,4-5,P6
9,Sep,Weekend,6,5,6,5-6,P6
9,Sep,Weekend,7,6,7,6-7,P6
9,Sep,Weekend,8,7,8,7-8,P6
9,Sep,Weekend,9,8,9,8-9,P6
9,Sep,Weekend,10,9,10,9-10,P6
9,Sep,Weekend,11,10,11,10-11,P6
9,Sep,Weekend,12,11,12,11-12,P6
9,Sep,Weekend,13,12,13,12-13,P6
9,Sep,Weekend,14,13,14,13-14,P6
9,Sep,Weekend,15,14,15,14-15,P6
9,Sep,Weekend,16,15,16,15-16,P6
9,Sep,Weekend,17,16,17,16-17,P6
9,Sep,Weekend,18,17,18,17-18,P6
9,Sep,Weekend,19,18,19,18-19,P6
9,Sep,Weekend,20,19,20,19-20,P6
9,Sep,Weekend,21,20,21,20-21,P6
9,Sep,Weekend,22,21,22,21-22,P6
9,Sep,Weekend,23,22,23,22-23,P6
9,Sep,Weekend,24,23,24,23-24,P6
10,Oct,Weekday,1,0,1,0-1,P6
10,Oct,Weekday,2,1,2,1-2,P6
10,Oct,Weekday,3,2,3,2-3,P6
10,Oct,Weekday,4,3,4,3-4,P6
10,Oct,Weekday,5,4,5,4-5,P6
10,Oct,Weekday,6,5,6,5-6,P6
10,Oct,Weekday,7,6,7,6-7,P6
10,Oct,Weekday,8,7,8,7-8,P6
10,Oct,Weekday,9,8,9,8-9,P5
10,Oct,Weekday,10,9,10,9-10,P4
10,Oct,Weekday,11,10,11,10-11,P4
10,Oct,Weekday,12,11,12,11-12,P4
10,Oct,Weekday,13,12,13,12-13,P4
10,Oct,Weekday,14,13,14,13-14,P4
10,Oct,Weekday,15,14,15,14-15,P5
10,Oct,Weekday,16,15,16,15-16,P5
10,Oct,Weekday,17,16,17,16-17,P5
10,Oct,Weekday,18,17,18,17-18,P5
